,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location
0,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,NLR
1,12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,TPT
2,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,NLR
3,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,HYD
4,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,NLR
5,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,NLR
6,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,BLR
7,10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,MAS
8,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,TPT
9,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,MAS
10,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,BLR
11,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,TPT
12,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,TPT
13,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,HYD
14,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,NLR
15,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,BLR
16,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,TPT
17,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,NLR
18,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,BLR
19,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,TPT
20,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,BLR
21,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,MAS
22,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,TPT
23,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,TPT
24,8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,NLR
25,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,TPT
26,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,HYD
27,8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,TPT
28,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,BLR
29,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,TPT
30,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,MAS
31,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,MAS
32,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,NLR
33,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,NLR
34,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,TPT
35,8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,MAS
36,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,MAS
37,7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,BLR
38,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,TPT
39,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,NLR
40,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished,BLR
